10;-20;200
60;-20;200
10;-50;200
60;-50;200

-245;-20;-214
-195;-20;-214
-220;-50;-214

130;-20;-176
180;-20;-176
130;-50;-176
180;-50;-176

-80;-20;57
-30;-20;57
-55;-50;57

200;200;250;200
200;200;200;230
250;200;250;230
200;230;250;230

250;200;300;200
250;200;250;230
300;200;300;230
250;230;300;230

200;230;250;230
200;230;200;260
250;230;250;260
200;260;250;260

250;230;300;230
250;230;250;260
300;230;300;260
250;260;300;260

200;200;250;200
200;200;200;230
250;200;250;230
200;230;250;230

250;200;300;200
250;200;250;230
300;200;300;230
250;230;300;230

225;200;275;200
225;200;225;170
275;200;275;170
225;170;275;170
